tweet,csv
@ChouhanShivraj Chor hi tum logo ko Marne ke liye chora ek din kisi garib ka jivan bita ke dekhna take dhile ho jyge corona ka tum pr koi asar nahi hua pr garibo ki to wat lagawa di na tumne yahi garib ab chapal uthake tumhare poster pe marege jalyege ab mama tum kansh mama nikle RT @YifatRoth: World Reporter Meeting Post Corona Period By the laws of nature LIVE: #Spanish https://t.co/GmnONGvG0W  #covidexplained #Sun RT @ZaidZamanHamid: https://t.co/rTN7uXw5ND Corona will never go away untill world economy is destroyed millions of people are killed thro , negative
@ansari_anabiya Corona failane wala RT @LadkaDigital: Jandhan : Bankers  DBT transfer : Bankers  Demonetisation : Bankers  Pension yojna : Bankers  Mudra loan : Bankers  RT @fateifatos: EU TO CHORANDO SE ISSO FOR VERDADE EU SOU A PESSOA MAIS FELIZ DO MUNDO  VAI TOMAR NO CU CORONA https://t.co/Ppo88Y5QtM , negative
Und hier noch: Mittelalter Bondage als Protest gegen Corona Massnahmen. Ich mein DIE Botschaft ist soooo klar! https://t.co/9VU4qmuYQg RT @IgorMatviyets: Der Nazi Sven Liebich schreit ber den Markt dass ich Jude bin. Angejubelt von seinen Untersttzern versucht er mich ei RT @El_Cranko: Loved your movie Parasite Do nada "VAI TOMAR NO CU CORONA" est nos tts. Acho que nunca fui to representada na vida , negative
RT @MomenMo17374219: GENERAL SECONDARY EXAMS WILL BE HELD IN 7TH JUNE SACRIFICING THE LIFE OF 750K STUDENT - OUR FUCKING LIVES IS THREATENE @nasanasal Corona ist ja nicht Schuld daran sondern die verodneten Verordnungen und der beschlossene Shutdown. Wenn man es genau nimmt! RT @praveendel: FM Smt @nsitharaman Traders across Country @TEAMCAIT are deeply upset & register protest for not including them in economic , negative
Warum das Ende der Geschichte nun definitiv zu Ende ist https://t.co/JAtR2uF6Aa via @NZZ , negative
RT @Urvashi68688714: Ayush doctors are frontline corona warriors .we also have right to be permanent #__ , negative
RT @abdullahciftcib: in Ulusal Salk Komisyonu yetkilisi Liu Dengfeng Covid-19 salgn henz erken aamadayken baz yeni tip corona vir @lange247 @mimiselmi @TeamKenFM @WaltiSiegrist @AnonymousBusch Als den Wissenschaften aka der Realitt verpflichteter Humanist und Arzt freue ich mich selbstverstndlich wenn Sie in meiner medizinischen Dekonstruktion des Corona-Schwindels einen Fehler finden und diesen auch faktisch belegen knnen werter@lange247. https://t.co/93seM8LpIW RT @Wahrheit005: Putin und die Demonstrationen: https://t.co/yruM4oK7pe , negative
RT @lGrabo28: Berpesta ditengah dunia sedang dilanda bencana pandemik ... sedang yg beribadah dilarang keras n malah akan di tindak keras p , negative
https://t.co/SWjxTmYA8F Polizei ermittelt wegen Rassismus an Corona-Demos , negative
RT @pjjkxphoria: o que mais esperamos  o grito de liberdade: vai tomar no cu corona e poder fazer um churrasquinho com os amigos   https:/ , negative
RT @NiemaMovassat: Diese Umfrage gibt einen sehr guten Hinweis darauf wo die #Corona-Leugner so politisch Hause sind: es sind vor allem An @Mkango_ Ife tikudikira atiyankhule za corona RT @tuittamaria: Sera que o meme do "Vai tomar no cu corona" vai se tornar real   Oi Deus sou eu de novo.... https://t.co/dUu7GYxhQe Weert & Corona vanuit jouw ogen | Stuur jouw beelden in  https://t.co/3lwEp5EH4Z #Weert https://t.co/GqCzkufd90 , negative
https://t.co/6ZXNcXf5kR RT @swahilitimes: Raia wa China waliokwenda kutibu Corona Nigeria ni mafundi wa kampuni ya ujenzi https://t.co/3CWHLsL9Ov , negative
To com dor de cabea ser que t com corona RT @Ra_Bies: Yes India. We have reached at the fourth spot in terms of daily reported Corona cases. Inshallah boys specially Tubelight Jam , negative
RT @meraldanis: 3.gndr Siirt dr Kurtalan ve Baykan Belediye e bakanlarmz corona salgn dneminde gzaltnda tutuluyor. nce Bel RT @salimkaskar3: #__ The worst plight in this power has been the poor laborers first demonetisation and now we are left to die RT @ismail_kupeli: Solche an sich unbedeuten Meldungen wie dass die neuseelndische Ministerprsidentin sich ebenfalls an die Corona-Besch , negative
RT @Stingbase: Sverige och Belgien har Europas hgsta skatter. Vi exporterar ocks flest IS terrorister per capita I Europa. Vi har flest d , negative
RT @abu_waras: Beuh! Ada alasan buat Jokowi utk lanjutkan IKN Baru. Tapi pertanyaannya Elu gableg duit kagak buat bangun IKN Buat Nomboki RT @Lazy_Banker: 1. Wage revision pending since #928Days  to be settled immediately with respectable increment. 2.  Insurance of 50 lakhs f , negative
RT @BruckMatthias: Warum beim Verzicht nicht bei der ARD-Chefredaktion anfangen   Berechtigte Frage. Eine Antwort wird jedoch nicht kommen @casspernyovest https://t.co/ex78wQWhVD , negative
Sabine Leutheusser-Schnarrenberger heute bei Anne Will: RT @madhukishwar: Easy way to raise money LEGALLY to fight #Corona.   Brits gave 99 year leases to missionaries at nominal payment for huge IOK Amid COVID-19: An Aggravated Humanitarian Crisis: https://t.co/q1xnsgR2NX "A total of 95454 Kashmiris have died in this freedom movement" #IOJK #AJK #COVID19 #Coronavirus #pandemic #globalcrisis #corona #Quarentine #Kashmir #India #Pakistan #Muslims #LOC #Pulwama , negative
Corona killed the Economy Star , negative
RT @Blinklacherry: VAI TOMAR NO CU CORONA  "Anti-corpos pro Covid-19 achados provvel vacina poder ser feita par aa cura." / "Brasil foi @Ch33ky___M0nk3y @tweety_ji Corona hai Corona.... , negative
RT @KTHopkins: If you are on a group chat / school mums group and p*ssed off with the corona policing of your life leave. Take time out. RT @Surtadah01: Eu no primeiro sextouuuuu ps quarentena VAI TOMAR NO CU CORONA https://t.co/8SDzvqXO8Y RT @chaturvedic: Desh sunta hai @narendramodi ke  @mannkibaat lekin kya modi sunenge parents ke mann ki baat Corona package mein sabke liy Anies Main Keras Larang Mudik Lokal: Corona Tidak Kenal Lebaran Semua Tetap di Rumah https://t.co/c2TepIVjeG , negative
RT @El_Cranko: Loved your movie Parasite RT @SouAliada: Adeus 40tena da farsa! Beijinho no ombro do recalque corongakkkk https://t.co/FIDHsmzR4Z RT @DhrFlick: Dit soort praktijken zien we in ons land ook. Onze MsM brengt gemanipuleerd nieuws D66 heeft ervoor gezorgd dat het referend RT @RainerDederichs: Geld Geld Geld die SPD glaubt alles mit Geld regeln zu knnen. Es macht aber nur eines klar: die  SPD hat NICHTS ve , negative
RT @Dennysiregar7: Lagi sehat :   "@BPJSKesehatanRI naik iurannya. Woii apa gak liat rakyat susah sudah Corona masih dicekik pemerintah ! , negative
RT @adamjlent: Remarkable piece from @AndyBurnhamGM . Strong unanswerable stuff on how our centralised London-centric politics is serious RT @olivergorus: Sechs Wochen verpennt ... ich glaube immer noch dass viele der 8000 Gestorbenen in D bei einer frheren gezielteren Reak Amien Rais Kena Semprot Politikus Gerindra: Pilpres 2024 Masih Jauh Corona di Depan Mata Waktunya Bantu Rakyat https://t.co/arJHOeBiTN I wish people focused on the opioid & mental health epdemic like they did with Corona .... https://t.co/g57XNH8Ysy , negative
RT @dinamalarweb:    3    #theatres #tntheatres #corona  https://t.co/Cyf6vZdPic https://t.co/Nu4Lg0 Me walking into Bilals corona house at 3 am to make him breakfast https://t.co/GxTmnJHGqL , negative
El corona virus no existe dices mientras echas d menos los desfiles d  moecos por las calles y t pones d rodillas por un cristo al k su padre su mujer le puso los cuernos con una paloma cabrona , positive
RT @sharmasupriya: They paid Rs 4000 for standing space in a truck.  They were travelling from Surat to UP.  Amrit Kumar collapsed on the , negative
RT @Thomas_Binder: @lange247 @mimiselmi @TeamKenFM @WaltiSiegrist @AnonymousBusch Als den Wissenschaften aka der Realitt verpflichteter Hu , negative
Amm RT @Aquela76154555: 4:00 da manh e Fica de 4 e VAI TOMAR NO CU CORONA nos trends   Como que faz para explicar o brasileiro Pq eu  fao a RT @ShampaDey13: Anyone from tukde tukde gang or pissful ja*atis volunteering , negative
RT @skyalascag: melhor audio dessa internet   VAI TOMAR NO CU CORONA https://t.co/LYytDKaIhk RT @fbianlara: Fica de 4 e vai tomar no c corona nos trends o brasileiro perdeu o controle emocional https://t.co/PM2nH7byA6 , negative
